country_name,releases_count,happiness_score,gdp_2019
United States,43530,6.892,65297.52
Japan,25899,5.886,40246.88
United Kingdom,22446,7.054,42330.12
Germany,19131,6.985,46445.25
France,17136,6.592,40493.93
Canada,12654,7.278,46194.73
Mexico,11958,6.595,9946.03
Italy,11916,6.223,33228.24
Netherlands,11703,7.488,52331.32
Australia,11400,7.228,55060.33
Spain,11010,6.354,29600.38
Brazil,10824,6.3,8717.19
Sweden,10527,7.343,51615.02
India,10431,4.015,2099.6
Belgium,10395,6.923,46420.66
Poland,10380,6.182,15692.51
Finland,10326,7.769,48782.79
Austria,10284,7.246,50137.66
Hong Kong,10194,5.43,48713.47
Norway,10191,7.554,75419.63
Turkey,10179,5.373,9126.56
Malaysia,10152,5.339,11414.21
Ireland,10134,7.021,78660.96
Switzerland,10131,7.48,81993.73
Indonesia,10125,5.192,4135.57
Singapore,10059,6.262,65233.28
Denmark,10026,7.6,60170.34
Argentina,9999,6.086,9912.28
Egypt,9936,4.166,3019.21
Colombia,9933,6.125,6428.68
Chile,9909,6.444,14896.45
Portugal,9906,5.693,23252.06
Greece,9900,5.287,19582.54
Hungary,9894,5.758,16731.82
United Arab Emirates,9873,6.825,43103.32
Lebanon,9867,5.197,7583.69
Saudi Arabia,9858,6.375,23139.8
South Africa,9828,4.722,6001.4
Qatar,9807,6.374,62088.06
Jordan,9783,4.906,4405.49
Peru,9780,5.697,6977.7
New Zealand,9777,7.307,42084.35
Czech Republic,9744,6.852,23494.6
Bahrain,9738,6.199,23503.98
Ecuador,9687,6.028,6183.82
Bolivia,9684,5.779,3552.07
Panama,9684,6.321,15731.02
Paraguay,9684,5.743,5414.8
El Salvador,9681,6.253,4187.25
Costa Rica,9675,7.167,12243.81
Nicaragua,9675,6.105,1912.9
Guatemala,9669,6.436,4619.99
Honduras,9654,5.86,2574.91
Thailand,9642,6.008,7806.74
Romania,9633,6.07,12919.53
Slovakia,9621,6.198,19266.28
Philippines,9618,5.631,3485.08
South Korea,9597,5.895,31846.22
Estonia,9591,5.893,23723.31
Israel,9585,7.139,43592.08
Bulgaria,9576,5.011,9828.15
Luxembourg,9537,7.09,114704.59
Cyprus,9495,6.046,27858.37
Lithuania,9495,6.149,19601.89
Vietnam,9486,5.175,2715.28
Russia,9474,5.648,11585.0
Latvia,9456,5.94,17828.89
Malta,9444,6.726,29820.6
Uruguay,9159,6.293,16190.13
Kuwait,9153,6.021,32000.45
Algeria,9090,5.211,3973.96
Morocco,9084,5.208,3204.1
Tunisia,9000,4.461,3317.45
Dominican Republic,8991,5.425,8282.12
Iceland,8904,7.494,66944.83
Ukraine,8451,4.332,3659.03
Slovenia,7977,6.118,25946.18
Kazakhstan,7950,5.809,9812.39
Ghana,7869,4.996,2202.12
Moldova,7746,5.529,4503.52
Nigeria,7695,5.265,2229.86
Kyrgyzstan,7683,5.261,1309.39
Kenya,7641,4.509,1816.55
Sri Lanka,7629,4.366,3853.08
Cambodia,7575,4.7,1643.12
Azerbaijan,7554,5.208,4793.59
Uganda,7542,4.189,794.34
Gambia,7521,4.516,777.81
Swaziland,7515,4.212,3894.68
Botswana,7512,3.488,7961.33
Niger,7506,4.628,553.9
Mongolia,7497,5.285,4339.84
Armenia,7491,4.559,4622.73
Mauritius,7482,5.888,11099.24
Laos,7473,4.796,2534.9
Namibia,7464,4.639,4957.46
Mozambique,7422,4.466,503.57
Tajikistan,7407,5.467,870.79
Belarus,7170,5.323,6663.3
Nepal,7167,4.913,1071.05
Uzbekistan,7146,6.174,1724.84
Zimbabwe,7131,3.663,1463.99
Burkina Faso,7113,4.587,786.9
Croatia,6753,5.432,14936.1
North Macedonia,6645,5.274,6022.22
Bosnia and Herzegovina,6546,5.386,6108.51
China,6513,5.191,10261.68
Montenegro,6513,5.523,8908.93
Chad,6474,4.35,709.54
Mauritania,6348,4.49,1679.44
Tanzania,6348,3.231,1122.12
Malawi,6342,3.41,411.55
Liberia,6339,3.975,621.89
Senegal,6339,4.681,1446.83
Sierra Leone,6339,4.374,527.53
Bhutan,6321,5.082,3316.18
Benin,6318,4.883,1219.43
Cameroon,6297,5.044,1507.45
Gabon,6297,4.799,7767.01
Georgia,6291,4.519,4697.7
Rwanda,6288,3.334,820.03
Albania,6282,4.719,5353.24
Zambia,6261,4.107,1305.06
Jamaica,6231,5.89,5582.26
Madagascar,6207,3.933,523.36
Congo,6195,4.812,2279.97
Mali,6099,4.39,879.01
Serbia,6072,5.603,7411.84
Yemen,5991,3.38,774.33
Comoros,5973,3.973,1370.15
Guinea,5967,4.534,962.84
Lesotho,5967,3.802,1118.13
Togo,5967,4.085,679.29
Bangladesh,5964,4.456,1855.74
Iraq,5961,4.437,5955.11
Pakistan,5961,5.653,1284.7
Afghanistan,5934,3.203,507.1
Ethiopia,5928,4.286,855.76
Democratic Republic of the Congo,5814,4.418,580.72
Libya,5703,5.525,7685.95
Burundi,5445,3.775,261.25
Central African Republic,5412,3.083,467.91
Trinidad and Tobago,5256,4.944,17397.98
Trinidad and Tobago,5256,6.192,17397.98
Myanmar,4620,4.36,1407.81
Kosovo,2910,6.1,4417.52
Haiti,228,3.597,1272.49
